Date,AHU Kitchen Extract Control Temperature_mean,AHU Kitchen Extract Control Temperature_max,AHU Kitchen Extract Control Temperature_min,AHU Kitchen Intake Control Temperature_mean,AHU Kitchen Intake Control Temperature_max,AHU Kitchen Intake Control Temperature_min,AHU Kitchen Supply Control Temperature_mean,AHU Kitchen Supply Control Temperature_max,AHU Kitchen Supply Control Temperature_min,AHU Kitchen Extract Entering Temperature_mean,AHU Kitchen Extract Entering Temperature_max,AHU Kitchen Extract Entering Temperature_min,AHU Kitchen Intake Entering Temperature_mean,AHU Kitchen Intake Entering Temperature_max,AHU Kitchen Intake Entering Temperature_min,AHU Kitchen Supply Entering Temperature_mean,AHU Kitchen Supply Entering Temperature_max,AHU Kitchen Supply Entering Temperature_min,AHU Kitchen Extract Leaving Temperature_mean,AHU Kitchen Extract Leaving Temperature_max,AHU Kitchen Extract Leaving Temperature_min,AHU Kitchen Intake Leaving Temperature_mean,AHU Kitchen Intake Leaving Temperature_max,AHU Kitchen Intake Leaving Temperature_min,AHU Kitchen Supply Leaving Temperature_mean,AHU Kitchen Supply Leaving Temperature_max,AHU Kitchen Supply Leaving Temperature_min
2025-03-23,,,,,,,22.5239078029375,23.571040235,21.400733045,16.63036384955903,19.287123097,12.431346872,,,,,,,16.63036384955903,19.287123097,12.431346872,,,,22.5239078029375,23.571040235,21.400733045
2025-03-24,,,,,,,20.80694417723611,23.464975448,17.665101406,19.12470689804514,25.054339156,12.146447283,,,,,,,19.12470689804514,25.054339156,12.146447283,,,,20.80694417723611,23.464975448,17.665101406
2025-03-25,,,,,,,21.177247476381943,23.903895284,18.36820967,20.359995611336803,25.419021838,14.875692967,,,,,,,20.359995611336803,25.419021838,14.875692967,,,,21.177247476381943,23.903895284,18.36820967
2025-03-26,,,,,,,21.400592994642363,24.668494997,17.899065143,19.937590046447916,27.061657164,13.746461151,,,,,,,19.937590046447916,27.061657164,13.746461151,,,,21.400592994642363,24.668494997,17.899065143
2025-03-27,,,,,,,21.5246747851875,24.001663322,18.145189759,19.777289463267362,24.974639972,15.341902216,,,,,,,19.777289463267362,24.974639972,15.341902216,,,,21.5246747851875,24.001663322,18.145189759
2025-03-28,,,,,,,21.62671377842361,24.645969979,18.259165806,19.679491588138887,23.784802065,14.789787045,,,,,,,19.679491588138887,23.784802065,14.789787045,,,,21.62671377842361,24.645969979,18.259165806
2025-03-29,,,,,,,23.411049480326387,24.212551743,22.661546108,17.16648680876736,19.637403376,13.510404533,,,,,,,17.16648680876736,19.637403376,13.510404533,,,,23.411049480326387,24.212551743,22.661546108
2025-03-30,,,,,,,22.639059230434782,23.19584512,21.792358026,18.63966505753623,21.984263932,14.89807997,,,,,,,18.63966505753623,21.984263932,14.89807997,,,,22.639059230434782,23.19584512,21.792358026
2025-03-31,,,,,,,21.19487577813986,24.125752366,17.829820008,20.075307096136363,27.707250779,13.058123785,,,,,,,20.075307096136363,27.707250779,13.058123785,,,,21.19487577813986,24.125752366,17.829820008
2025-04-01,,,,,,,21.18816001075958,25.703305676,18.211201648,18.841472886310104,25.573111581,11.016577273,,,,,,,18.841472886310104,25.573111581,11.016577273,,,,21.18816001075958,25.703305676,18.211201648
2025-04-02,,,,,,,20.9608814144375,24.825236013,17.677634596,18.4214895215,24.536299769,10.728063269,,,,,,,18.4214895215,24.536299769,10.728063269,,,,20.9608814144375,24.825236013,17.677634596
2025-04-03,,,,,,,21.422835867378474,24.181499205,18.028504365,19.106494300069446,24.936317897,14.466121125,,,,,,,19.106494300069446,24.936317897,14.466121125,,,,21.422835867378474,24.181499205,18.028504365
2025-04-04,,,,,,,21.55618742843403,24.527880574,18.097775527,19.124477719131946,25.294101018,14.707991384,,,,,,,19.124477719131946,25.294101018,14.707991384,,,,21.55618742843403,24.527880574,18.097775527
2025-04-05,,,,,,,23.560272787322916,24.61532958,22.909541973,16.966933650961806,23.653506909,14.287860957,,,,,,,16.966933650961806,23.653506909,14.287860957,,,,23.560272787322916,24.61532958,22.909541973
2025-04-06,,,,,,,22.912723129434028,23.782584087,21.818840096,17.90026178695486,24.174666594,12.78459488,,,,,,,17.90026178695486,24.174666594,12.78459488,,,,22.912723129434028,23.782584087,21.818840096
2025-04-07,,,,,,,21.24997466220139,24.969702306,17.147126018,19.36276131260764,27.533595214,12.863943941,,,,,,,19.36276131260764,27.533595214,12.863943941,,,,21.24997466220139,24.969702306,17.147126018
2025-04-08,,,,,,,21.569254186684027,24.649114636,17.195684015,20.0117509193125,28.42869073,13.226661764,,,,,,,20.0117509193125,28.42869073,13.226661764,,,,21.569254186684027,24.649114636,17.195684015
2025-04-09,,,,,,,21.479747545100693,24.008857459,14.347678676,18.984733237666667,24.784664444,13.473432608,,,,,,,18.984733237666667,24.784664444,13.473432608,,,,21.479747545100693,24.008857459,14.347678676
2025-04-10,,,,,,,21.656731136420138,25.17603939,17.282574033,20.39468976212153,24.879548263,12.620426527,,,,,,,20.39468976212153,24.879548263,12.620426527,,,,21.656731136420138,25.17603939,17.282574033
2025-04-11,,,,,,,21.92531627004514,24.895737798,15.790395226,21.533951618322916,26.311657527,16.691216095,,,,,,,21.533951618322916,26.311657527,16.691216095,,,,21.92531627004514,24.895737798,15.790395226
2025-04-12,,,,,,,24.927547005690972,26.709471807,23.695830432,20.860645980329863,30.806205379,14.745111552,,,,,,,20.860645980329863,30.806205379,14.745111552,,,,24.927547005690972,26.709471807,23.695830432
2025-04-13,,,,,,,24.798085897364583,25.630091878,23.783064019,18.97091259070486,24.411794467,13.999642634,,,,,,,18.97091259070486,24.411794467,13.999642634,,,,24.798085897364583,25.630091878,23.783064019
2025-04-14,,,,,,,22.09586598135764,25.130036895,17.94756258,19.72631611272222,24.549603849,13.90248914,,,,,,,19.72631611272222,24.549603849,13.90248914,,,,22.09586598135764,25.130036895,17.94756258
2025-04-15,,,,,,,22.122328622444442,26.360656001,18.058798784,20.244689529131946,25.171431692,14.437404785,,,,,,,20.244689529131946,25.171431692,14.437404785,,,,22.122328622444442,26.360656001,18.058798784
2025-04-16,,,,,,,22.055924831677082,24.891558242,18.448299381,19.99481641790972,26.814445195,15.522367816,,,,,,,19.99481641790972,26.814445195,15.522367816,,,,22.055924831677082,24.891558242,18.448299381
2025-04-17,,,,,,,21.723078268166667,24.86554682,18.151217773,20.113044600315973,25.90923459,14.493841007,,,,,,,20.113044600315973,25.90923459,14.493841007,,,,21.723078268166667,24.86554682,18.151217773
2025-04-18,,,,,,,20.819083206774305,23.446582433,18.295118299,16.937327655534723,20.818843218,11.283483068,,,,,,,16.937327655534723,20.818843218,11.283483068,,,,20.819083206774305,23.446582433,18.295118299
2025-04-19,,,,,,,22.6677296895,24.187112693,21.055697194,15.650882451100692,21.037543449,12.290631736,,,,,,,15.650882451100692,21.037543449,12.290631736,,,,22.6677296895,24.187112693,21.055697194
